image_path,label,training_allocation
congested_non-congested/congested/00614_congested.jpg,congested,train
congested_non-congested/congested/00595_congested.jpg,congested,train
congested_non-congested/non-congested/01438_non-congested.jpg,non-congested,train
congested_non-congested/congested/00785_congested.jpg,congested,train
congested_non-congested/non-congested/01768_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01813_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01402_non-congested.jpg,non-congested,train
congested_non-congested/congested/00308_congested.jpg,congested,train
congested_non-congested/congested/00460_congested.jpg,congested,train
congested_non-congested/congested/00869_congested.jpg,congested,train
congested_non-congested/non-congested/01736_non-congested.jpg,non-congested,train
congested_non-congested/congested/00079_congested.jpg,congested,train
congested_non-congested/congested/00583_congested.jpg,congested,train
congested_non-congested/non-congested/01348_non-congested.jpg,non-congested,train
congested_non-congested/congested/00506_congested.jpg,congested,train
congested_non-congested/non-congested/01057_non-congested.jpg,non-congested,train
congested_non-congested/congested/00202_congested.jpg,congested,train
congested_non-congested/congested/00447_congested.jpg,congested,train
congested_non-congested/non-congested/01207_non-congested.jpg,non-congested,train
congested_non-congested/congested/00667_congested.jpg,congested,train
congested_non-congested/congested/00499_congested.jpg,congested,train
congested_non-congested/congested/00069_congested.jpg,congested,train
congested_non-congested/congested/00797_congested.jpg,congested,train
congested_non-congested/congested/00256_congested.jpg,congested,train
congested_non-congested/non-congested/01033_non-congested.jpg,non-congested,train
congested_non-congested/congested/00158_congested.jpg,congested,train
congested_non-congested/non-congested/01595_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01699_non-congested.jpg,non-congested,train
congested_non-congested/congested/00748_congested.jpg,congested,train
congested_non-congested/non-congested/01115_non-congested.jpg,non-congested,train
congested_non-congested/congested/00277_congested.jpg,congested,train
congested_non-congested/congested/00027_congested.jpg,congested,train
congested_non-congested/congested/00173_congested.jpg,congested,train
congested_non-congested/congested/00640_congested.jpg,congested,train
congested_non-congested/congested/00010_congested.jpg,congested,train
congested_non-congested/non-congested/01179_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01262_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01137_non-congested.jpg,non-congested,train
congested_non-congested/congested/00860_congested.jpg,congested,train
congested_non-congested/congested/00352_congested.jpg,congested,train
congested_non-congested/congested/00094_congested.jpg,congested,train
congested_non-congested/congested/00221_congested.jpg,congested,train
congested_non-congested/congested/00504_congested.jpg,congested,train
congested_non-congested/non-congested/01332_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01001_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/00932_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01021_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01145_non-congested.jpg,non-congested,train
congested_non-congested/congested/00765_congested.jpg,congested,train
congested_non-congested/non-congested/01305_non-congested.jpg,non-congested,train
congested_non-congested/congested/00272_congested.jpg,congested,train
congested_non-congested/congested/00147_congested.jpg,congested,train
congested_non-congested/non-congested/01153_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01662_non-congested.jpg,non-congested,train
congested_non-congested/congested/00459_congested.jpg,congested,train
congested_non-congested/congested/00440_congested.jpg,congested,train
congested_non-congested/non-congested/01399_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01715_non-congested.jpg,non-congested,train
congested_non-congested/congested/00545_congested.jpg,congested,train
congested_non-congested/non-congested/01804_non-congested.jpg,non-congested,train
congested_non-congested/congested/00454_congested.jpg,congested,train
congested_non-congested/non-congested/01852_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01146_non-congested.jpg,non-congested,train
congested_non-congested/congested/00259_congested.jpg,congested,train
congested_non-congested/non-congested/01569_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01577_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01951_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01719_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01139_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01293_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01642_non-congested.jpg,non-congested,train
congested_non-congested/non-congested/01902_non-congested.jpg,non-congested,train
congested_non-congested/congested/00818_congested.jpg,congested,train
