image_path,label,training_allocation
imagenet_10_class_resized/n01531178/00815_n01531178.JPEG,n01531178,train
imagenet_10_class_resized/n01580077/03465_n01580077.JPEG,n01580077,train
imagenet_10_class_resized/n01530575/00298_n01530575.JPEG,n01530575,train
imagenet_10_class_resized/n01534433/01537_n01534433.JPEG,n01534433,train
imagenet_10_class_resized/n01558993/02444_n01558993.JPEG,n01558993,train
imagenet_10_class_resized/n01534433/01869_n01534433.JPEG,n01534433,train
imagenet_10_class_resized/n01592084/04568_n01592084.JPEG,n01592084,train
imagenet_10_class_resized/n01582220/04070_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01530575/00311_n01530575.JPEG,n01530575,train
imagenet_10_class_resized/n01534433/01601_n01534433.JPEG,n01534433,train
imagenet_10_class_resized/n01592084/04536_n01592084.JPEG,n01592084,train
imagenet_10_class_resized/n01537544/02244_n01537544.JPEG,n01537544,train
imagenet_10_class_resized/n01592084/04537_n01592084.JPEG,n01592084,train
imagenet_10_class_resized/n01558993/02734_n01558993.JPEG,n01558993,train
imagenet_10_class_resized/n01582220/04089_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01580077/03743_n01580077.JPEG,n01580077,train
imagenet_10_class_resized/n01530575/00342_n01530575.JPEG,n01530575,train
imagenet_10_class_resized/n01582220/04114_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01582220/04328_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01582220/04400_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01582220/03975_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01580077/03848_n01580077.JPEG,n01580077,train
imagenet_10_class_resized/n01537544/02347_n01537544.JPEG,n01537544,train
imagenet_10_class_resized/n01582220/04208_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01532829/00958_n01532829.JPEG,n01532829,train
imagenet_10_class_resized/n01534433/01699_n01534433.JPEG,n01534433,train
imagenet_10_class_resized/n01582220/04271_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01531178/00437_n01531178.JPEG,n01531178,train
imagenet_10_class_resized/n01582220/04090_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01560419/03070_n01560419.JPEG,n01560419,train
imagenet_10_class_resized/n01531178/00402_n01531178.JPEG,n01531178,train
imagenet_10_class_resized/n01582220/04189_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01580077/03864_n01580077.JPEG,n01580077,train
imagenet_10_class_resized/n01531178/00413_n01531178.JPEG,n01531178,train
imagenet_10_class_resized/n01592084/04566_n01592084.JPEG,n01592084,train
imagenet_10_class_resized/n01592084/04943_n01592084.JPEG,n01592084,train
imagenet_10_class_resized/n01558993/02733_n01558993.JPEG,n01558993,train
imagenet_10_class_resized/n01532829/01121_n01532829.JPEG,n01532829,train
imagenet_10_class_resized/n01532829/01394_n01532829.JPEG,n01532829,train
imagenet_10_class_resized/n01534433/01705_n01534433.JPEG,n01534433,train
imagenet_10_class_resized/n01531178/00479_n01531178.JPEG,n01531178,train
imagenet_10_class_resized/n01592084/04689_n01592084.JPEG,n01592084,train
imagenet_10_class_resized/n01582220/04392_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01537544/02156_n01537544.JPEG,n01537544,train
imagenet_10_class_resized/n01531178/00890_n01531178.JPEG,n01531178,train
imagenet_10_class_resized/n01558993/02453_n01558993.JPEG,n01558993,train
imagenet_10_class_resized/n01531178/00532_n01531178.JPEG,n01531178,train
imagenet_10_class_resized/n01532829/01084_n01532829.JPEG,n01532829,train
imagenet_10_class_resized/n01558993/02794_n01558993.JPEG,n01558993,train
imagenet_10_class_resized/n01532829/01218_n01532829.JPEG,n01532829,train
imagenet_10_class_resized/n01582220/04146_n01582220.JPEG,n01582220,train
imagenet_10_class_resized/n01531178/00898_n01531178.JPEG,n01531178,train
imagenet_10_class_resized/n01531178/00546_n01531178.JPEG,n01531178,train
