image_path,label,training_allocation
imagenet_20_class_resized/n01534433/06109_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01514668/03410_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01532829/05924_n01532829.JPEG,n01532829,train
imagenet_20_class_resized/n01532829/05708_n01532829.JPEG,n01532829,train
imagenet_20_class_resized/n01534433/06071_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01496331/02594_n01496331.JPEG,n01496331,train
imagenet_20_class_resized/n01440764/00336_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01537544/06882_n01537544.JPEG,n01537544,train
imagenet_20_class_resized/n01580077/08203_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01514668/03610_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01580077/08401_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01496331/02568_n01496331.JPEG,n01496331,train
imagenet_20_class_resized/n01580077/08328_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01532829/05759_n01532829.JPEG,n01532829,train
imagenet_20_class_resized/n01514859/03974_n01514859.JPEG,n01514859,train
imagenet_20_class_resized/n01592084/09426_n01592084.JPEG,n01592084,train
imagenet_20_class_resized/n01537544/06823_n01537544.JPEG,n01537544,train
imagenet_20_class_resized/n01558993/07172_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01534433/06173_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01582220/08868_n01582220.JPEG,n01582220,train
imagenet_20_class_resized/n01532829/05523_n01532829.JPEG,n01532829,train
imagenet_20_class_resized/n01494475/02023_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01514859/03756_n01514859.JPEG,n01514859,train
imagenet_20_class_resized/n01440764/00388_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01518878/04420_n01518878.JPEG,n01518878,train
imagenet_20_class_resized/n01494475/02024_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01592084/09198_n01592084.JPEG,n01592084,train
imagenet_20_class_resized/n01491361/01830_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01496331/02420_n01496331.JPEG,n01496331,train
imagenet_20_class_resized/n01494475/02130_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01531178/05035_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01491361/01858_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01580077/08494_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01514859/03713_n01514859.JPEG,n01514859,train
imagenet_20_class_resized/n01558993/07466_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01498041/03121_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01592084/09432_n01592084.JPEG,n01592084,train
imagenet_20_class_resized/n01582220/08696_n01582220.JPEG,n01582220,train
imagenet_20_class_resized/n01498041/02887_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01530575/04642_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01443537/00657_n01443537.JPEG,n01443537,train
imagenet_20_class_resized/n01491361/01860_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01558993/07472_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01558993/07174_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01491361/01591_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01443537/00644_n01443537.JPEG,n01443537,train
imagenet_20_class_resized/n01494475/02088_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01440764/00156_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01514859/04101_n01514859.JPEG,n01514859,train
imagenet_20_class_resized/n01531178/05384_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01558993/07105_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01534433/06009_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01494475/02013_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01560419/07749_n01560419.JPEG,n01560419,train
imagenet_20_class_resized/n01514668/03662_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01558993/07237_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01592084/09577_n01592084.JPEG,n01592084,train
imagenet_20_class_resized/n01491361/01646_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01534433/06131_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01531178/05123_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01443537/00651_n01443537.JPEG,n01443537,train
imagenet_20_class_resized/n01531178/05189_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01491361/01805_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01518878/04412_n01518878.JPEG,n01518878,train
imagenet_20_class_resized/n01580077/08405_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01484850/01275_n01484850.JPEG,n01484850,train
imagenet_20_class_resized/n01534433/06313_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01534433/06065_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01491361/01545_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01530575/04655_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01532829/05969_n01532829.JPEG,n01532829,train
imagenet_20_class_resized/n01532829/05805_n01532829.JPEG,n01532829,train
imagenet_20_class_resized/n01494475/02314_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01518878/04224_n01518878.JPEG,n01518878,train
imagenet_20_class_resized/n01491361/01509_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01582220/08612_n01582220.JPEG,n01582220,train
imagenet_20_class_resized/n01514668/03391_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01530575/04780_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01531178/05179_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01558993/07241_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01534433/06062_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01443537/00446_n01443537.JPEG,n01443537,train
imagenet_20_class_resized/n01498041/02881_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01496331/02409_n01496331.JPEG,n01496331,train
imagenet_20_class_resized/n01514668/03564_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01498041/02970_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01592084/09595_n01592084.JPEG,n01592084,train
imagenet_20_class_resized/n01484850/01013_n01484850.JPEG,n01484850,train
imagenet_20_class_resized/n01443537/00855_n01443537.JPEG,n01443537,train
imagenet_20_class_resized/n01558993/07356_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01440764/00420_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01498041/03104_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01498041/02964_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01534433/06371_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01530575/04927_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01592084/09405_n01592084.JPEG,n01592084,train
imagenet_20_class_resized/n01537544/06968_n01537544.JPEG,n01537544,train
imagenet_20_class_resized/n01491361/01435_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01514668/03708_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01491361/01727_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01494475/02265_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01531178/05308_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01491361/01797_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01440764/00346_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01531178/04962_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01440764/00159_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01491361/01541_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01514668/03692_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01514859/03885_n01514859.JPEG,n01514859,train
imagenet_20_class_resized/n01484850/00950_n01484850.JPEG,n01484850,train
imagenet_20_class_resized/n01530575/04723_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01440764/00095_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01582220/09006_n01582220.JPEG,n01582220,train
imagenet_20_class_resized/n01530575/04742_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01537544/06993_n01537544.JPEG,n01537544,train
imagenet_20_class_resized/n01484850/01072_n01484850.JPEG,n01484850,train
imagenet_20_class_resized/n01491361/01617_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01582220/08912_n01582220.JPEG,n01582220,train
imagenet_20_class_resized/n01514859/04041_n01514859.JPEG,n01514859,train
imagenet_20_class_resized/n01514668/03510_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01531178/05159_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01440764/00090_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01514668/03373_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01518878/04432_n01518878.JPEG,n01518878,train
imagenet_20_class_resized/n01530575/04752_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01498041/03037_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01558993/07345_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01580077/08382_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01498041/03147_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01496331/02709_n01496331.JPEG,n01496331,train
imagenet_20_class_resized/n01582220/08998_n01582220.JPEG,n01582220,train
imagenet_20_class_resized/n01440764/00141_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01580077/08327_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01498041/03060_n01498041.JPEG,n01498041,train
imagenet_20_class_resized/n01582220/09042_n01582220.JPEG,n01582220,train
imagenet_20_class_resized/n01484850/01080_n01484850.JPEG,n01484850,train
imagenet_20_class_resized/n01443537/00534_n01443537.JPEG,n01443537,train
imagenet_20_class_resized/n01443537/00756_n01443537.JPEG,n01443537,train
imagenet_20_class_resized/n01537544/06786_n01537544.JPEG,n01537544,train
imagenet_20_class_resized/n01580077/08024_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01537544/06598_n01537544.JPEG,n01537544,train
imagenet_20_class_resized/n01530575/04918_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01530575/04650_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01532829/05873_n01532829.JPEG,n01532829,train
imagenet_20_class_resized/n01582220/08932_n01582220.JPEG,n01582220,train
imagenet_20_class_resized/n01491361/01766_n01491361.JPEG,n01491361,train
imagenet_20_class_resized/n01518878/04133_n01518878.JPEG,n01518878,train
imagenet_20_class_resized/n01534433/06113_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01494475/02138_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01494475/02280_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01534433/06475_n01534433.JPEG,n01534433,train
imagenet_20_class_resized/n01580077/08170_n01580077.JPEG,n01580077,train
imagenet_20_class_resized/n01443537/00447_n01443537.JPEG,n01443537,train
imagenet_20_class_resized/n01496331/02562_n01496331.JPEG,n01496331,train
imagenet_20_class_resized/n01514668/03247_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01484850/01242_n01484850.JPEG,n01484850,train
imagenet_20_class_resized/n01531178/05286_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01514668/03513_n01514668.JPEG,n01514668,train
imagenet_20_class_resized/n01558993/07026_n01558993.JPEG,n01558993,train
imagenet_20_class_resized/n01532829/05854_n01532829.JPEG,n01532829,train
imagenet_20_class_resized/n01494475/02247_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01531178/05073_n01531178.JPEG,n01531178,train
imagenet_20_class_resized/n01530575/04842_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01494475/01953_n01494475.JPEG,n01494475,train
imagenet_20_class_resized/n01440764/00163_n01440764.JPEG,n01440764,train
imagenet_20_class_resized/n01496331/02344_n01496331.JPEG,n01496331,train
imagenet_20_class_resized/n01530575/04794_n01530575.JPEG,n01530575,train
imagenet_20_class_resized/n01494475/02163_n01494475.JPEG,n01494475,train
