image_path,label,training_allocation
wielder_non-wielder/non-wielder/00879_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01567_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01484_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01111_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01204_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00351_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/00985_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01355_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00579_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/00967_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01631_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01184_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01533_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00291_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00359_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00123_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00710_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00124_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/00883_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00553_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00820_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01380_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/00870_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00742_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01025_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01658_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/00979_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00381_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00181_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/00910_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00170_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01181_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00446_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00499_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01097_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00617_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00699_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00096_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01604_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/00856_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00057_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/00993_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00657_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01683_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/00904_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01121_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00612_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00031_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01039_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00104_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01031_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01201_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01702_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00192_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01473_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00382_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01332_non-wielder.jpg,non-wielder,train
wielder_non-wielder/non-wielder/01528_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00796_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00095_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/gun_wielder/00107_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/00900_non-wielder.jpg,non-wielder,train
wielder_non-wielder/gun_wielder/00691_gun_wielder.jpg,gun_wielder,train
wielder_non-wielder/non-wielder/01106_non-wielder.jpg,non-wielder,train
